order,station,post,lat,long,lat
215,田端,114-0013,東京都北区東田端一丁目17-1,139.761229,35.737781
216,田端,114-0013,東京都北区東田端一丁目17-1,139.761229,35.737781
217,上中里,114-0016,北区上中里１丁目,139.745769,35.74728
218,飛鳥山,114-0023,北区滝野川１,139.737382,35.750248
219,滝野川一丁目,114-0023,北区滝野川１,139.735376,35.747374
220,西ケ原,114-0024,東京都北区西ヶ原二丁目3-8,139.742322,35.746008
221,西ヶ原四丁目,114-0024,東京都北区西ヶ原四丁目,139.732779,35.744501
222,十条,114-0034,北区上十条１丁目,139.722233,35.760321
223,志茂,115-0042,北区志茂２-１-１８,139.732599,35.777948
224,赤羽,115-0045,北区赤羽１丁目,139.720928,35.778026
225,赤羽,115-0045,北区赤羽１丁目,139.720928,35.778026
226,赤羽,115-0045,北区赤羽１丁目,139.720928,35.778026
227,赤羽,115-0045,北区赤羽１丁目,139.720928,35.778026
228,赤羽,115-0045,北区赤羽１丁目,139.720928,35.778026
229,赤羽岩淵,115-0045,北区赤羽１-５２-８,139.722103,35.783417
230,赤羽岩淵,115-0045,北区赤羽１-５２-８,139.722103,35.783417
231,浮間舟渡,115-0051,北区浮間４丁目,139.691341,35.791209
232,北赤羽,115-0052,北区赤羽北２丁目,139.70569,35.787007
233,町屋,116-0001,荒川区町屋１丁目,139.781499,35.742354
234,町屋,116-0001,荒川区町屋１丁目,139.780501,35.742733
235,荒川区役所前,116-0002,荒川区荒川１,139.786456,35.73493
236,荒川二丁目,116-0002,荒川区荒川２,139.784696,35.738623
237,荒川七丁目,116-0002,荒川区荒川７,139.78417,35.741975
238,町屋駅前,116-0002,荒川区荒川７,139.781145,35.74275
239,町屋二丁目,116-0002,荒川区荒川６,139.776625,35.743837
240,南千住,116-0003,荒川区南千住４丁目,139.7994,35.734033
241,南千住,116-0003,荒川区南千住４丁目,139.799273,35.733398
242,三ノ輪橋,116-0003,荒川区南千住１,139.791412,35.732248
243,荒川一中前,116-0003,荒川区南千住１-１,139.788988,35.733659
244,南千住,116-0003,荒川区南千住４丁目,139.798783,35.732413
245,小台,116-0011,荒川区西尾久５,139.761779,35.750579
246,荒川遊園地前,116-0011,荒川区西尾久５,139.757767,35.750744
247,荒川車庫前,116-0011,荒川区西尾久７,139.752617,35.750909
248,東尾久三丁目,116-0012,荒川区東尾久３,139.774386,35.745398
249,熊野前,116-0012,荒川区東尾久５,139.769204,35.749212
250,宮ノ前,116-0012,荒川区東尾久５,139.764955,35.750135
251,赤土小学校前,116-0012,荒川区東尾久４-７-７,139.768989,35.742454
252,熊野前,116-0012,荒川区東尾久５,139.769695,35.748972
253,西日暮里,116-0013,東京都荒川区西日暮里五丁目22-1,139.766857,35.731954
254,日暮里,116-0013,東京都荒川区西日暮里二丁目19-1,139.771287,35.727908
255,日暮里,116-0013,東京都荒川区西日暮里二丁目,139.771287,35.727908
256,三河島,116-0013,荒川区西日暮里１丁目,139.777131,35.733383
257,西日暮里,116-0013,東京都荒川区西日暮里五丁目22-1,139.766857,35.731954
258,日暮里,116-0013,東京都荒川区西日暮里二丁目,139.771287,35.727908
259,日暮里,116-0013,東京都荒川区西日暮里二丁目,139.771287,35.727908
260,新三河島,116-0013,荒川区西日暮里６-２-１,139.773834,35.73714
261,日暮里,116-0013,東京都荒川区西日暮里二丁目19-1,139.771287,35.727908
262,西日暮里,116-0013,東京都荒川区西日暮里五丁目14-1,139.766511,35.732257
263,日暮里,116-0013,東京都荒川区西日暮里二丁目19-1,139.771287,35.727908
264,西日暮里,116-0013,東京都荒川区西日暮里五丁目31-7,139.766857,35.731954
265,綾瀬,120-0005,足立区綾瀬３丁目,139.825019,35.762222
266,綾瀬,120-0005,足立区綾瀬３丁目,139.825019,35.762222
267,北綾瀬,120-0006,足立区谷中２丁目,139.832035,35.777117
268,青井,120-0012,足立区青井三丁目,139.82038,35.771782
